setting,mmd,sliced_wasserstein,mode_coverage,train_time_sec,sample_time_sec
vae_beta_0.1,0.004704424764381487,0.16117171099819383,1.0,0.9005234000069322,0.0004270999925211072
vae_beta_0.5,0.0048133524975664255,0.17096272613649388,1.0,0.785214100003941,0.00022650000755675137
vae_beta_1.0,0.0070951935832921365,0.18337042540035284,1.0,0.9416799999889918,0.0003360999980941415
diffusion_t20,0.013309000410425043,0.2316215524238031,1.0,0.9919477999937953,0.009479500004090369
diffusion_t80,0.00457305560012311,0.16680276737582145,1.0,0.9350299000070663,0.031166100001428276
