model,dataset,mmd,sliced_wasserstein,mode_coverage,train_time_sec,sample_time_sec,contamination_ratio
diffusion,gaussian_mixture,0.0017286696772595977,0.1413697677519517,1.0,4.176235700004327,0.04071210000256542,0.0
vae,gaussian_mixture,0.0014795415844883752,0.17323961960052298,1.0,3.5826230000020587,0.0011528000031830743,0.0
diffusion,ring,0.0008472770909393468,0.09086886526801909,1.0,3.9372176000033505,0.03929230000358075,0.0
vae,ring,0.0018772682268071161,0.11773393035961041,1.0,3.1982773000054294,0.00035900000511901453,0.0
diffusion,spiral,0.0007552515857676134,0.06825077611661351,1.0,3.9864576999971177,0.039659000001847744,0.0
vae,spiral,0.0014983070860896675,0.07469942462281437,1.0,3.2380368999947677,0.00044039999920642003,0.0
diffusion,two_moons,0.005696444832212322,0.14497507390843484,1.0,4.170118800000637,0.03670360000251094,0.0
vae,two_moons,0.0016624279812833542,0.10414856392134798,1.0,3.3577332999993814,0.00033480000274721533,0.0
