chamfer,chamfer_std,contamination_ratio,contamination_ratio_std,dataset,gmm_nll,gmm_nll_std,kde_nll,kde_nll_std,mmd,mmd_std,mode_coverage,mode_coverage_std,model,n_seeds,sample_time_sec,sample_time_sec_std,sampling_steps,sampling_steps_std,sliced_wasserstein,sliced_wasserstein_std,train_time_sec,train_time_sec_std
0.03977246744693593,0.0032124236756678032,0.0,0.0,gaussian_mixture,2.257908142678029,0.10027890932974577,4.859063585352962,0.016898117254620555,0.0009030283413560714,0.0006503518393644989,1.0,0.0,diffusion,5,0.016121386799932226,0.005269408320663425,80.0,0.0,0.1050521051102035,0.03247054051188963,2.9237625411999035,0.0802623536983842
0.046544061119981196,0.0022000502980587806,0.0,0.0,ring,2.4324212967891814,0.02444716440042266,4.53535210819504,0.007599665146007599,0.0007592963492002447,0.0003531728973138537,1.0,0.0,diffusion,5,0.014123202599876095,0.0004531605220752263,80.0,0.0,0.07982381021584282,0.01902483258518191,2.418847693200223,0.08528644197980861
0.09518472760749916,0.0016827115872444238,0.0,0.0,spiral,3.10777308057557,0.011323818491442922,3.6947775749850367,0.017311847385517512,0.0008990206270746536,0.0005243069121083373,1.0,0.0,diffusion,5,0.014689446600277734,0.002082733833769807,80.0,0.0,0.08846353824656956,0.009700484077886292,3.0107348207999167,0.06567345262474239
0.049690770349236545,0.0008584448360834213,0.0,0.0,two_moons,2.296205229375479,0.03622457469871468,3.7354879628464834,0.025457079255302526,0.0045201842874345475,0.001388136836037319,1.0,0.0,diffusion,5,0.013777360799940653,0.00019201538406749303,80.0,0.0,0.12059001060265587,0.017642238786237267,2.4161719166000695,0.20128453262155133
0.07439759880440924,0.010179215830433014,0.0,0.0,gaussian_mixture,2.447449443233589,0.09257355627836578,4.870189821214597,0.005986828715239531,0.0004211243530526154,0.0002494111531071773,1.0,0.0,flow,5,0.0030629320001025915,0.001472117004979896,,,0.10279493349068983,0.01500439903066243,18.514284931600013,0.3725365376703967
0.044793269823310354,0.001296499117901192,0.0,0.0,ring,2.4239258246977275,0.018020251864303737,4.545500759745736,0.0006520189908245659,0.00029976303596253767,0.00016623936861059703,1.0,0.0,flow,3,0.0020778693333340925,0.0002395527637371774,,,0.05117957614804782,0.01128672170350853,18.97450145499988,0.6578000780016662
0.08272872665279982,0.001649017427907763,0.0,0.0,spiral,3.0525106876140256,0.010196966985043658,3.7215691022028956,0.023026206380814464,0.0009125847114350271,0.00039641868312538406,1.0,0.0,flow,5,0.002048721800019848,3.382426067256194e-05,,,0.07074647380350481,0.013721510893281087,18.903397406200202,0.2570700263904109
0.04509624250531807,0.0010312229564097362,0.0,0.0,two_moons,2.2354674372351178,0.03273296406174758,3.7939619406106315,0.010819333063967278,0.00025932490962379264,0.00024809700161561164,1.0,0.0,flow,5,0.0020339943999715614,3.694854047109023e-05,,,0.0381819088199646,0.012930998513728592,18.76232853500005,0.3161609419709857
0.09575400687079846,0.007691671632637988,0.0,0.0,gaussian_mixture,2.6710119741756606,0.11724728585667425,4.848824631174438,0.005409628140736894,0.0011255022587554286,0.000277587193008325,1.0,0.0,vae,5,0.0017197367998960545,0.0034205488759937565,,,0.13014272507748684,0.009625317611617355,2.3968203381999045,0.20240893597511297
0.07362041857540026,0.0056277973431764295,0.0,0.0,ring,2.660837637967798,0.07749828844454,4.486406764759683,0.01419790945976905,0.0013879694852925173,0.00013539870336335975,1.0,0.0,vae,5,0.0002167881997593213,1.3286210696079215e-05,,,0.10511910931605424,0.006567313040154531,2.1575967133998346,0.21060721595130938
0.08810310736473578,0.0015592547304444165,0.0,0.0,spiral,3.0806690982437717,0.014791400348037846,3.6739126606551125,0.02046405263157167,0.0019104182340270004,0.0005120868689945526,1.0,0.0,vae,5,0.00024394679985562107,4.896554934764659e-05,,,0.08971659962823507,0.009239594226472721,2.3873482330000115,0.10505466593541077
0.07448690057601352,0.002881393428495185,0.0,0.0,two_moons,3.106484892037898,0.25458435890744385,3.7357669833133045,0.01012681290868969,0.0015513113484259655,0.0004519161570165863,1.0,0.0,vae,5,0.00019936380012950395,6.468612462397216e-06,,,0.0875932146968246,0.00857051709737007,2.004838148199815,0.1270834668879723
