beta_end,beta_start,checkpoint,contamination_ratio,dataset,group,hidden_dim,latent_dim,mmd,mode_coverage,sample_time_sec,sliced_wasserstein,timesteps,train_time_sec
0.02,0.0001,diffusion_spiral.pt,,spiral,ablation,128,,0.013309000410425043,1.0,0.009479500004090369,0.2316215524238031,20,0.9919477999937953
,,vae_spiral.pt,,spiral,ablation,128,4,0.0070951935832921365,1.0,0.0003360999980941415,0.18337042540035284,,0.9416799999889918
,,vae_spiral.pt,0.0,spiral,ablation_lowbeta,128,4,0.0006325103151652023,1.0,0.0011283000058028847,0.07186220996745846,,4.016275599999062
,,vae_spiral.pt,0.0,spiral,ablation_highbeta,128,4,0.0031728194016686917,1.0,0.0012962999971932732,0.09863244358784717,,3.9620533999986947
0.02,0.0001,diffusion_spiral.pt,0.0,spiral,ablation_diff20,128,,0.0028330924501007715,1.0,0.009996400003728922,0.09558199315250188,20,4.614531200000783
