dataset,train_mean_x,train_mean_y,train_std_x,train_std_y,train_min_x,train_max_x,train_min_y,train_max_y,train_mean_radius,train_std_radius,train_cov_trace,test_mean_x,test_mean_y,test_std_x,test_std_y,test_min_x,test_max_x,test_min_y,test_max_y,test_mean_radius,test_std_radius,test_cov_trace
gaussian_mixture,-0.013034477829933167,0.013088315725326538,1.8089576959609985,1.8863590955734253,-3.127506971359253,3.0675811767578125,-3.0773074626922607,3.0106940269470215,2.6070656776428223,0.18501141667366028,6.844046179339053,-0.004243794828653336,-0.04421217739582062,1.8315531015396118,1.8653640747070312,-2.9326634407043457,3.067458152770996,-2.9025816917419434,2.8984577655792236,2.609257221221924,0.1670876443386078,6.860970323182373
ring,-0.02334848791360855,-0.10814857482910156,1.5544712543487549,1.5507887601852417,-2.4363489151000977,2.5352840423583984,-2.459832191467285,2.4599812030792236,2.195189952850342,0.12128163874149323,4.830761949720232,0.2050003856420517,0.22345022857189178,1.5498063564300537,1.5149202346801758,-2.2841379642486572,2.408792018890381,-2.414522171020508,2.4019715785980225,2.184804677963257,0.1243654191493988,4.71530201162731
two_moons,9.313225746154785e-10,-5.587935447692871e-09,1.9176846742630005,1.1071645021438599,-3.6907613277435303,3.5706446170806885,-2.019174098968506,1.9865353107452393,2.050809144973755,0.8351702690124512,4.912923121111852,0.0,-3.725290298461914e-09,1.9349753856658936,1.1103743314743042,-3.5973496437072754,3.656334400177002,-1.971764326095581,1.9454504251480103,2.059417724609375,0.857822597026825,4.996579021147535
spiral,0.15832340717315674,0.2085438370704651,1.1329891681671143,1.210806131362915,-2.318222761154175,2.5808215141296387,-2.363539695739746,2.910787582397461,1.4604383707046509,0.8278844952583313,2.7550970199462324,0.0782640352845192,0.034762606024742126,1.1624963283538818,1.2304056882858276,-2.2697718143463135,2.7440388202667236,-2.3993582725524902,3.0921473503112793,1.4733695983886719,0.8377418518066406,2.876532234469982
