chamfer,contamination_kind,dataset,kde_nll,mmd,mode_coverage,model,n_runs,sliced_wasserstein
,baseline,ring,,0.00030191652624722565,1.0,diffusion,2,0.06422567275565363
,baseline,ring,,0.0013232995193274144,1.0,vae,2,0.1271519653258355
0.09847142815303311,cluster_shift,ring,4.452807296313581,0.0024767809503114524,1.0,diffusion,2,0.1370279202942047
0.09621028989230299,cluster_shift,ring,4.4769097300196545,0.0022651035727182522,1.0,vae,2,0.14371609648809247
0.08930597841905685,heteroscedastic,ring,4.464894500037788,0.0019627262438132176,1.0,diffusion,2,0.12237753716098465
0.08549210169206656,heteroscedastic,ring,4.483763429483092,0.0011233863911086495,1.0,vae,2,0.10898427314689252
0.09120816848648969,uniform,ring,4.468050731472465,0.0015459644656440341,1.0,diffusion,2,0.11842500273059313
0.11322036924494014,uniform,ring,4.492584797559366,0.0007936972229335426,1.0,vae,2,0.11514945552758077
,baseline,spiral,,0.0014477576132355674,1.0,diffusion,2,0.09497733576373438
,baseline,spiral,,0.0017982993990786067,1.0,vae,2,0.10720062256411655
0.09726667989290044,cluster_shift,spiral,3.6649922335070677,0.001166768410258312,1.0,diffusion,2,0.08344916809741536
0.09227963406487569,cluster_shift,spiral,3.6782039613594697,0.0012858700783457966,1.0,vae,2,0.08418132944173222
0.09821082328871829,heteroscedastic,spiral,3.6677188457760472,0.0011407740255454657,1.0,diffusion,2,0.08305357569808941
0.09088544119518202,heteroscedastic,spiral,3.6594888362068714,0.0015370055356076495,1.0,vae,2,0.08505069230361852
0.1072748293366894,uniform,spiral,3.689785987145389,0.0009588831065708847,1.0,diffusion,2,0.08681332444077663
0.10901149983787402,uniform,spiral,3.7341197422739665,0.0008157999759298429,1.0,vae,2,0.08237266144346216
