dataset,train_mean_x,train_mean_y,train_std_x,train_std_y,train_min_x,train_max_x,train_min_y,train_max_y,train_mean_radius,train_std_radius,train_cov_trace,test_mean_x,test_mean_y,test_std_x,test_std_y,test_min_x,test_max_x,test_min_y,test_max_y,test_mean_radius,test_std_radius,test_cov_trace
gaussian_mixture,0.0016070881392806768,-0.03022194653749466,1.815321445465088,1.8680554628372192,-3.0424184799194336,2.963899612426758,-2.950981616973877,3.1528964042663574,2.5999274253845215,0.1622236669063568,6.7884175981993415,0.03638317063450813,0.013894796371459961,1.8384308815002441,1.8380932807922363,-2.9935193061828613,3.0722973346710205,-3.0348172187805176,3.0050504207611084,2.594942808151245,0.16187819838523865,6.761796372256928
ring,0.00993375014513731,0.03133174777030945,1.5538877248764038,1.5621166229248047,-2.5289535522460938,2.4283690452575684,-2.4811627864837646,2.5878918170928955,2.1997151374816895,0.1308041363954544,4.8572043580374125,-0.02922644466161728,-0.02498750574886799,1.5715328454971313,1.5458213090896606,-2.5709359645843506,2.6244044303894043,-2.6162197589874268,2.5730345249176025,2.2006499767303467,0.13378292322158813,4.861709804743784
two_moons,-0.0453336127102375,0.16111259162425995,1.4988197088241577,0.8880727291107178,-2.9286868572235107,2.961398124694824,-1.7937016487121582,1.807236909866333,1.616546630859375,0.6707629561424255,3.0366519142765216,-0.04042511433362961,0.1893622726202011,1.4964654445648193,0.8732129335403442,-2.939546823501587,2.823746919631958,-1.5014230012893677,1.7894537448883057,1.6062592267990112,0.6777408123016357,3.0034111250849564
spiral,-0.04303007572889328,-0.007671643979847431,1.1747026443481445,1.126407504081726,-2.8222806453704834,3.0080530643463135,-2.651430130004883,2.5755550861358643,1.4240684509277344,0.7890878319740295,2.650045105698296,0.028212105855345726,-0.0061310939490795135,1.1622638702392578,1.1384168863296509,-2.805753707885742,2.853087902069092,-2.5661027431488037,2.6458919048309326,1.4270395040512085,0.7818197011947632,2.6481743925081713
