chamfer,checkpoint,contamination_kind,contamination_ratio,dataset,kde_nll,mmd,mode_coverage,model,sample_time_sec,sampler,sampling_steps,sliced_wasserstein,train_time_sec
0.06884114856425734,diffusion_ring_robust_cluster-shift_r0p0.pt,cluster_shift,0.0,ring,4.483165953460119,0.0017596650067641662,1.0,diffusion,0.012354899998172186,ddim,20,0.11419356140910056,2.886235999998462
0.09736666541149629,diffusion_ring_robust_cluster-shift_r0p05.pt,cluster_shift,0.05,ring,4.449896246606013,0.002544137830385429,1.0,diffusion,0.014613200000894722,ddim,20,0.13787121471674835,2.6983791000020574
0.09957619089456995,diffusion_ring_robust_cluster-shift_r0p1.pt,cluster_shift,0.1,ring,4.455718346021149,0.002409424070237476,1.0,diffusion,0.01242669999919599,ddim,20,0.13618462587166108,2.967650099999446
0.06884114856425734,diffusion_ring_robust_heteroscedastic_r0p0.pt,heteroscedastic,0.0,ring,4.483165953460119,0.0017596650067641662,1.0,diffusion,0.014734699994733091,ddim,20,0.11419356140910056,2.740765599999577
0.08710457337710593,diffusion_ring_robust_heteroscedastic_r0p05.pt,heteroscedastic,0.05,ring,4.461465368020759,0.0018960915237917764,1.0,diffusion,0.01234699999622535,ddim,20,0.1175893650988722,2.597303499998816
0.09150738346100779,diffusion_ring_robust_heteroscedastic_r0p1.pt,heteroscedastic,0.1,ring,4.468323632054818,0.002029360963834659,1.0,diffusion,0.013337300006242003,ddim,20,0.1271657092230971,2.738210000003164
,diffusion_ring_robust_r0p0.pt,baseline,0.0,ring,,0.001063118317894185,1.0,diffusion,0.0409189999991213,,,0.0875094560661445,2.9888753999985056
,diffusion_ring_robust_r0p05.pt,baseline,0.05,ring,,0.00034085126449356906,1.0,diffusion,0.03552250000211643,,,0.06636924356020416,2.9409631000016816
,diffusion_ring_robust_r0p1.pt,baseline,0.1,ring,,0.00026298178800088223,1.0,diffusion,0.04425210000044899,,,0.0620821019511031,3.3469091999941156
0.06884114856425734,diffusion_ring_robust_uniform_r0p0.pt,uniform,0.0,ring,4.483165953460119,0.0017596650067641662,1.0,diffusion,0.012263500000699423,ddim,20,0.11419356140910056,2.7498393999994732
0.08170401436674937,diffusion_ring_robust_uniform_r0p05.pt,uniform,0.05,ring,4.475747134170568,0.0014242428836213072,1.0,diffusion,0.019473000000289176,ddim,20,0.11392951344442867,3.0116237999973237
0.10071232260623,diffusion_ring_robust_uniform_r0p1.pt,uniform,0.1,ring,4.460354328774361,0.001667686047666761,1.0,diffusion,0.013081600001896732,ddim,20,0.12292049201675759,3.3222440000026836
0.09743349507513777,diffusion_spiral_robust_cluster-shift_r0p0.pt,cluster_shift,0.0,spiral,3.6642486283275764,0.0012100494271249929,1.0,diffusion,0.012827699996705633,ddim,20,0.0843009879437471,2.8855987999995705
0.09717831158795513,diffusion_spiral_robust_cluster-shift_r0p05.pt,cluster_shift,0.05,spiral,3.6678263465298246,0.001053557569726582,1.0,diffusion,0.01922980000381358,ddim,20,0.08148464016817927,3.0451574999970035
0.09735504819784577,diffusion_spiral_robust_cluster-shift_r0p1.pt,cluster_shift,0.1,spiral,3.6621581204843103,0.001279979250790042,1.0,diffusion,0.01665090000460623,ddim,20,0.08541369602665144,2.773640200000955
0.09743349507513777,diffusion_spiral_robust_heteroscedastic_r0p0.pt,heteroscedastic,0.0,spiral,3.6642486283275764,0.0012100494271249929,1.0,diffusion,0.017375900002662092,ddim,20,0.0843009879437471,2.689314099996409
0.09758560427006785,diffusion_spiral_robust_heteroscedastic_r0p05.pt,heteroscedastic,0.05,spiral,3.666584754755849,0.0011730432010448322,1.0,diffusion,0.016334599997207988,ddim,20,0.08374513307379243,2.805134000001999
0.09883604230736873,diffusion_spiral_robust_heteroscedastic_r0p1.pt,heteroscedastic,0.1,spiral,3.6688529367962457,0.0011085048500460992,1.0,diffusion,0.013197000000218395,ddim,20,0.0823620183223864,2.891391500001191
,diffusion_spiral_robust_r0p0.pt,baseline,0.0,spiral,,0.0010677709189577111,1.0,diffusion,0.03236099999776343,,,0.07557833586662577,2.9324465000026976
,diffusion_spiral_robust_r0p05.pt,baseline,0.05,spiral,,0.0018426016841999182,1.0,diffusion,0.03853019999951357,,,0.10260178147448308,3.1318918999968446
,diffusion_spiral_robust_r0p1.pt,baseline,0.1,spiral,,0.0010529135422712166,1.0,diffusion,0.03248489999532467,,,0.08735289005298566,3.1613330000036513
0.09743349507513777,diffusion_spiral_robust_uniform_r0p0.pt,uniform,0.0,spiral,3.6642486283275764,0.0012100494271249929,1.0,diffusion,0.01263959999778308,ddim,20,0.0843009879437471,2.5763777999964077
0.10301354211989919,diffusion_spiral_robust_uniform_r0p05.pt,uniform,0.05,spiral,3.674961112128301,0.0009241780233761876,1.0,diffusion,0.012930400000186637,ddim,20,0.08320479299906428,3.056976100000611
0.11153611655347961,diffusion_spiral_robust_uniform_r0p1.pt,uniform,0.1,spiral,3.704610862162477,0.0009935881897655818,1.0,diffusion,0.011875899996084627,ddim,20,0.090421855882489,3.1391857999988133
0.07103467631822019,vae_ring_robust_cluster-shift_r0p0.pt,cluster_shift,0.0,ring,4.483309602339956,0.0013496018941689947,1.0,vae,0.0004943000021739863,,,0.10403834305637513,2.883172099995136
0.09887892413471576,vae_ring_robust_cluster-shift_r0p05.pt,cluster_shift,0.05,ring,4.4680425729784945,0.001960396652413543,1.0,vae,0.0005003999976906925,,,0.1352511450999926,2.8549248999988777
0.0935416556498902,vae_ring_robust_cluster-shift_r0p1.pt,cluster_shift,0.1,ring,4.485776887060814,0.0025698104930229615,1.0,vae,0.0008862000031513162,,,0.15218104787619238,3.090328899997985
0.07103467631822019,vae_ring_robust_heteroscedastic_r0p0.pt,heteroscedastic,0.0,ring,4.483309602339956,0.0013496018941689947,1.0,vae,0.0004893000004813075,,,0.10403834305637513,3.148846999996749
0.07957715662442627,vae_ring_robust_heteroscedastic_r0p05.pt,heteroscedastic,0.05,ring,4.485695602989911,0.0013121273033849246,1.0,vae,0.00051299999904586,,,0.10538000891966706,3.0973945000005187
0.09140704675970684,vae_ring_robust_heteroscedastic_r0p1.pt,heteroscedastic,0.1,ring,4.4818312559762745,0.0009346454788323744,1.0,vae,0.0006462999954237603,,,0.11258853737411798,2.818015100005141
,vae_ring_robust_r0p0.pt,baseline,0.0,ring,,0.0015891679538790893,1.0,vae,0.0010914000013144687,,,0.1133156313499243,3.1684874999991735
,vae_ring_robust_r0p05.pt,baseline,0.05,ring,,0.0017573581413290462,1.0,vae,0.0002590000003692694,,,0.1331795553391362,2.7769014999939827
,vae_ring_robust_r0p1.pt,baseline,0.1,ring,,0.0008892408973257826,1.0,vae,0.00026929999876301736,,,0.12112437531253484,3.116446799998812
0.07103467631822019,vae_ring_robust_uniform_r0p0.pt,uniform,0.0,ring,4.483309602339956,0.0013496018941689947,1.0,vae,0.0021575000064331107,,,0.10403834305637513,3.3475451999984216
0.09997655745913704,vae_ring_robust_uniform_r0p05.pt,uniform,0.05,ring,4.4855020848579334,0.0006061058025341737,1.0,vae,0.0007815999997546896,,,0.0952476003119823,3.1274667999969097
0.12646418103074322,vae_ring_robust_uniform_r0p1.pt,uniform,0.1,ring,4.499667510260799,0.0009812886433329115,1.0,vae,0.0008907000010367483,,,0.13505131074317925,3.5544458000003942
0.08883640272561785,vae_spiral_robust_cluster-shift_r0p0.pt,cluster_shift,0.0,spiral,3.65696047083576,0.0017843096683862747,1.0,vae,0.0007404999996651895,,,0.08611632086721346,3.0959141999992426
0.09053645916449643,vae_spiral_robust_cluster-shift_r0p05.pt,cluster_shift,0.05,spiral,3.6778180647272536,0.0011552860156969214,1.0,vae,0.001031799998600036,,,0.08282235391604714,3.149883999998565
0.09402280896525494,vae_spiral_robust_cluster-shift_r0p1.pt,cluster_shift,0.1,spiral,3.678589857991686,0.0014164541409946718,1.0,vae,0.0005650000020978041,,,0.0855403049674173,3.2152977000005194
0.08883640272561785,vae_spiral_robust_heteroscedastic_r0p0.pt,heteroscedastic,0.0,spiral,3.65696047083576,0.0017843096683862747,1.0,vae,0.0004990000015823171,,,0.08611632086721346,2.8181351000021095
0.08903040762832412,vae_spiral_robust_heteroscedastic_r0p05.pt,heteroscedastic,0.05,spiral,3.6570294633807117,0.0015868339450790803,1.0,vae,0.000741700001526624,,,0.08501762854280301,3.1306304999961867
0.0927404747620399,vae_spiral_robust_heteroscedastic_r0p1.pt,heteroscedastic,0.1,spiral,3.6619482090330315,0.0014871771261362188,1.0,vae,0.000629100002697669,,,0.08508375606443402,3.0888057999982266
,vae_spiral_robust_r0p0.pt,baseline,0.0,spiral,,0.0026470054472245153,1.0,vae,0.0002299999978276901,,,0.10102245122718997,2.7285957999993116
,vae_spiral_robust_r0p05.pt,baseline,0.05,spiral,,0.0015920701981011476,1.0,vae,0.00025859999732347205,,,0.09922298081612224,3.107378599997901
,vae_spiral_robust_r0p1.pt,baseline,0.1,spiral,,0.002004528600056066,1.0,vae,0.00041000000055646524,,,0.11517826431211087,3.0216308000017307
0.08883640272561785,vae_spiral_robust_uniform_r0p0.pt,uniform,0.0,spiral,3.65696047083576,0.0017843096683862747,1.0,vae,0.0006426999971154146,,,0.08611632086721346,2.8864442000049166
0.10463033271707306,vae_spiral_robust_uniform_r0p05.pt,uniform,0.05,spiral,3.719875692632417,0.0008682353347360117,1.0,vae,0.0004954999967594631,,,0.08456201919637552,3.6013462000046275
0.11339266695867498,vae_spiral_robust_uniform_r0p1.pt,uniform,0.1,spiral,3.748363791915516,0.0007633646171236741,1.0,vae,0.0012679999999818392,,,0.0801833036905488,3.4670647000020836
