model,dataset,mmd,sliced_wasserstein,chamfer,kde_nll,mode_coverage,train_time_sec,sample_time_sec,contamination_ratio,contamination_kind,sampler,sampling_steps
diffusion,gaussian_mixture,0.0013363236762191644,0.13994753871073012,0.039642722021259416,4.872778457712091,1.0,5.666757400002098,0.06562089999351883,0.0,uniform,ddpm,80.0
vae,gaussian_mixture,0.0012040336252847617,0.14696175636082315,0.09569266386947603,4.850724096763614,1.0,6.324125599996478,0.0017191000006278045,0.0,uniform,,
diffusion,ring,0.0004219121186714858,0.07544500301561215,0.04818274110353615,4.550406197798991,1.0,5.835373600006278,0.0910578000039095,0.0,uniform,ddpm,80.0
vae,ring,0.0006653456430729676,0.08780640678887365,0.07846535389917225,4.514534267185385,1.0,5.822073499999533,0.0005868000007467344,0.0,uniform,,
diffusion,spiral,0.0014395699523144234,0.09623222433883097,0.0970666041601871,3.6783093177176096,1.0,6.082605800002057,0.051434799999697134,0.0,uniform,ddpm,80.0
vae,spiral,0.0008346778742613914,0.0771146936620474,0.09289063293781859,3.7182005820342514,1.0,6.169146200001705,0.0007679000045754947,0.0,uniform,,
diffusion,two_moons,0.004596595737186737,0.1310021020273212,0.04842060225439446,3.7575569065161947,1.0,5.8221014000009745,0.04870389999996405,0.0,uniform,ddpm,80.0
vae,two_moons,0.0011842005893982765,0.08875141133744407,0.07375286774852731,3.765410760138306,1.0,5.607168700000329,0.000534200000402052,0.0,uniform,,
